Date,Close
2019-07-09,99
2019-07-10,99.19
2019-07-11,100.7
2019-07-12,99.54
2019-07-15,99.2
2019-07-16,99.88
2019-07-17,97.77
2019-07-18,97.1
2019-07-19,94.53
2019-07-22,93.24
2019-07-23,95.12
2019-07-24,95.31
2019-07-25,96.4
2019-07-26,97.21
2019-07-29,97.4
2019-07-30,97.31
2019-07-31,96.55
2019-08-01,95.25
2019-08-02,93.91
2019-08-05,91.35
2019-08-06,92.56
2019-08-07,93.4
2019-08-08,95.77
2019-08-09,95.58
2019-08-12,93.85
2019-08-13,95.26
2019-08-14,92.01
2019-08-15,91.61
2019-08-16,93.01
2019-08-19,93.46
2019-08-20,92.73
2019-08-21,91.62
2019-08-22,92.41
2019-08-23,91.08
2019-08-26,91.65
2019-08-27,91.13
2019-08-28,91.91
2019-08-29,92.54
2019-08-30,92.37
2019-09-03,91.31
2019-09-04,92.3
2019-09-05,93.47
2019-09-06,93.74
2019-09-09,92.53
2019-09-10,93.58
2019-09-11,95.18
2019-09-12,94.77
2019-09-13,96.05
2019-09-16,93.66
2019-09-17,94.86
2019-09-18,95.35
2019-09-19,95.78
2019-09-20,95.22
2019-09-23,94.25
2019-09-24,92.22
2019-09-25,92.77
2019-09-26,92.01
2019-09-27,91.45
2019-09-30,93.11
2019-10-01,92.15
2019-10-02,90.94
2019-10-03,91.99
2019-10-04,93.35
2019-10-07,91
2019-10-08,90.7
2019-10-09,91.5
2019-10-10,91.55
2019-10-11,93.43
2019-10-14,91.53
2019-10-15,91.66
2019-10-16,92.2
2019-10-17,92.2
2019-10-18,91.15
2019-10-21,92.39
2019-10-22,90.73
2019-10-23,95.77
2019-10-24,96.91
2019-10-25,97.69
2019-10-28,97.19
2019-10-29,97.31
2019-10-30,97.32
2019-10-31,96.96
2019-11-01,96.31
2019-11-04,97.99
2019-11-05,100.15
2019-11-06,99.57
2019-11-07,98.93
2019-11-08,99.09
2019-11-11,98.13
2019-11-12,98.09
2019-11-13,97.76
2019-11-14,98.85
2019-11-15,99.69
2019-11-18,100.17
2019-11-19,100.21
2019-11-20,99.26
2019-11-21,99.08
2019-11-22,101.22
2019-11-25,103.09
2019-11-26,105.32
2019-11-27,106.37
2019-11-29,105
2019-12-02,104.75
2019-12-03,103.95
2019-12-04,104.18
2019-12-05,104.91
2019-12-06,105.47
2019-12-09,104.75
2019-12-10,104.7
2019-12-11,105.7
2019-12-12,106.52
2019-12-13,107.2
2019-12-16,108.48
2019-12-17,108.8
2019-12-18,109.25
2019-12-19,110.34
2019-12-20,111.42
2019-12-23,111.28
2019-12-24,111.37
2019-12-26,111.94
2019-12-27,112.39
2019-12-30,111.37
